index,type,name,status,embedded_dump,embedded_size,embedded_sha256,candidate_count
0,localize,mod,inventory,,,,
1,script,clientscripts/mp/zombies/_zm_perk_divetonuke.csc,dumped_embedded,fastfiles/mod/assets/clientscripts/mp/zombies/_zm_perk_divetonuke.csc,1105,ee3191891cd8a5f95bb9545b0de13e4aed2caa004ffce983c4f27ee6981549fc,
2,script,scripts/zm/_fire_sale.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/_fire_sale.csc,270,f49753bb96f4f0c3e795afe8f57c016ab513d347491ba0bfeecf1bd3c67e94ac,
3,script,scripts/zm/thundergun.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/thundergun.csc,159,2fa5bb16a6501f738b968b51e724a1dce35b973b9e3f2daccd917d0df5a479fa,
4,script,scripts/zm/Freeze.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/Freeze.csc,157,d012c24e72e11a875f89c2394817fd8062ee69edfa1312dd218322c5da253bbc,
5,script,scripts/zm/intervention.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/intervention.csc,102,cff0c8fb9f4eae248023efa8c2f60540efece0d0d61353ed3577973c1122bdb5,
6,script,scripts/zm/kar98k.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/kar98k.csc,96,dc6c689891f376563a63fd9845540465a309bf65a440ac8fc2c6c55a9003676e,
7,script,scripts/zm/insas.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/insas.csc,95,73e1bf8bdf5a1d7d39103dced228b27d875a422e2bccebd4e14bf1e6314bf286,
8,script,scripts/zm/spas.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/spas.csc,94,28115506a13438bd07e684b79024644bacfdd291dbc091afa922bccc60bbce40,
9,script,scripts/zm/slipgun.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/slipgun.csc,143,08ba98ad9bd92188cc071f50758694b62fbc7e76ca7a3736d4e72356b17fc659,
10,script,scripts/zm/zm_transit/zm_transit.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/zm_transit/zm_transit.csc,5516,b6ac4972cee76535006c546fde5bfd738dce343034d0061bb468cc9efb25dccf,
11,script,scripts/zm/zm_nuked/zm_nuked.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/zm_nuked/zm_nuked.csc,5130,93a057d18a61424de74a0413faf91d642b3e83790bb7d8353f65a1a92ce605ea,
12,script,scripts/zm/zm_highrise/zm_highrise.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/zm_highrise/zm_highrise.csc,5120,38a40801502a243e49a4c9aaa7fe81cc98d06d03a9a978ae52f80ba2cc2f0670,
13,script,scripts/zm/zm_prison/zm_prison.csc,dumped_embedded,fastfiles/mod/assets/scripts/zm/zm_prison/zm_prison.csc,5340,09c5950a3480fff383d382412669f2171524d82cfe0d6bd662c5e9264da5a30a,
